Question,Context
What do you think about Food-Restaurant ?,"People think they’re saving the world with paper straws, but I’ve already taken it to the next level..paper hoses!"
What do you think about Food-Restaurant ?,"Do you ever order two entrees so you have leftovers later, but then still eat them both? Or do you have more control than me??"
What do you think about Food-Restaurant ?,So do you also treat a buffet as a food scavenger hunt? always gotta find the biggest tater tots..
What do you think about Food-Restaurant ?,"So what are your thoughts on eating straight out of a chinese food takeout container, like a detective who's only solved one case: The case of someone without plates?"
What do you think about Food-Salad ?,"Would you come to my restaurant called “Toppings”, where you order salad bowls without the lettuce? we all deserve a bowl of blue cheese and bacon.."
What do you think about Food-Salad ?,"If salads make you healthy, why does everyone in front of me at a salad bar move like a 108-year-old sea tortoise?"
What do you think about Food-Salad ?,"when you see steak in a salad, do you also whisper “you’re too good for this”?"
What do you think about Food-Salad ?,"So when you eat a salad, do you make a mini salad on your fork?"
What do you think about Food-Salad ?,Don’r you think acai has way too many syllables for being such a short word? like you’re singing that Rihanna song
What do you think about Food-Sandwich ?,I'm forming a study as to why sandwiches cut into triangles taste better than ones cut into rectangles..Any thoughts?
What do you think about Food-Seafood  ?,It’s fun to imagine the first person eating a crab trying to convince the second person to eat a crab
What do you think about Food-Seafood  ?,"Yess the world is our oyster! Do you like a spot like Hog Island for the atmosphere, or more into Swan Depot (imo better food, but more like a shack)"
What do you think about Food-Seafood  ?,"So do you ever invent names for your best dance moves? I’m still trying to get the ""lobster roll"" to be a thing..like a Tootsie Roll but w.more lobster"
What do you think about Food-Seafood  ?,think it’s because people have no idea if they even like sushi or if they just really love soy sauce?
What do you think about Food-Seafood  ?,"I like to imagine that soy sauce is just a Spanish condiment asserting ""I am sauce!"""
What do you think about Food-Snack ?,What are your snack options when working from home? That was one area where I really had to step it up to compete with the office..
What do you think about Food-Snack ?,"Do you think one day malls will just be all pretzel stores? Like you go in hoping to find a shirt you like..psych, it’s a pretzel!"
What do you think about Food-Snack ?,Do you share my superpower where I can open any snack packaging the wrong way so it's impossible to close again?
What do you think about Food-Snack ?,Do you think it's a coincidence that both snacks and soulmate  start with an 's'?
What do you think about Food-Snack ?,"When there are no snacks left anywhere in my house,  that's how I know it's time to go to bed"
What do you think about Food-Snack ?,My granola bars always seem to turn into a bag of loose oats
What do you think about Food-Snack ?,"We could eat Pringles, because you can put two of em in your mouth and it look like you have a duck"
What do you think about Food-Snack ?,What’s the best peanut butter delivery system? it’s really the only use for celery
What do you think about Food-Snack ?,I call my pantry a snack library
What do you think about Food-Snack ?,"I like to combine trail-mix and pub-mix into one bag, to really confuse ppl about what my lifestyle is like"
What do you think about Food-Snack ?,"If you had a time machine, would you go back 100 years and totally freak out everyone with your upside-down-dispensing ketchup bottle?"
What do you think about Food-Soup ?,What are your thoughts on cornbread with chili? I always make some b/c it’s like what if cake had to work for a living
What do you think about Food-Vegetable ?,when you have reached the bottom of a box of spinach it is called arriving at the spinish line?
What do you think about Food-Vegetable ?,"so when you eat broccoli, do you ever pretend that you’re eating a forest of tiny trees?"
What do you think about Food-Vegetable ?,Carrot top should actually have green hair
What do you think about Food-Vegetable ?,"My vegetable of the year award goes to...sweet potatoes! everytime the thunder goes off in the vegetable isle, do you think they panic and think something went wrong in their kingdom?"
What do you think about Food-Vegetable ?,We did everything we could. Cauliflower just isnt ready to go solo.
What do you think about Food-Vegetable ?,What’s your favorite dip for veggies? Always thought of peanut butter as like celery's wild college friend who blows in from out of town
What do you think about From ?,"There is a lot of reasons to love Nashville, but one of them is apparently they put crushed saltines on salads?"
What do you think about From ?,"Do you think the other lakes, like Lake Michigan are sick of Lake Superior?"
What do you think about From ?,"So since you're from the Midwest, I can only assume you were a part of a Second City improv group in Chicago?"
What do you think about From ?,Is there anything you miss from back in Texas? Always gotta stay grateful for the state that gave us Friday Night Lights and Beyoncé.
What do you think about Games Bar Games ?,Yeah! Although wait..are you a pool shark? I’m more like a pool dolphin..my #1 move is flinging the ball off of the table into the bar
What do you think about Games Bar Games ?,Do you think Operation is by far the best game about doing surgery on a naked guy?
What do you think about Games Bar Games ?,So what’s your victory song from the jukebox gonna be? I’m definitely going w.Lionel Richie’s “Dancing on the Ceiling”..
What do you think about Games-Board Games ?,"I love party games like Catchphrase and Codenames, or card games like Uno, Monopoly Deal are great too. Same with any classic Nintendo/SNES games..spent many hours going after wild chickens in Zelda"
What do you think about Games-Board Games ?,"So are you pretty competitive with like a celebration dance for winning Rummy, or flipping over a Scrabble board in defeat"
What do you think about Games-Board Games ?,"So are you pretty competitive on game nights, with a whole celebration song and dance for winning Scrabble?"
What do you think about Games-Board Games ?,"Hey Theresa! Let’s go play Monopoly Deal, do you have a dance and song made up already for if you win? maybe in the tune of the West Wing theme"
What do you think about Games-Board Games ?,So maybe you’re the right person to ask..Are any of these legit chess moves
What do you think about Games-Board Games ?,#NAME?
What do you think about Games-Board Games ?,#NAME?
What do you think about Games-Board Games ?,#NAME?
What do you think about Games-Board Games ?,We should play Scrabble but only using song titles..and loser has to sing it at karaoke?
What do you think about Games-Board Games ?,Does your sense of adventure translate to games too? Feels like you could get the best of both worlds playing Catan at home
What do you think about Games-Board Games ?,"Did you have a competitive family growing up? I feel like we played board games as a kid, just so I could learn how to suffer a crushing defeat"
What do you think about Games-Board Games ?,"So do you set your medicine cabinet like a domino run, waiting to be set off the second you make a wrong move grabbing the chapstick?"
What do you think about Games-Board Games ?,"Are you ever convinced your Lego set is missing a crucial piece, and bet they left it our deliberately, and..oh wait..there it is"
What do you think about Games-Cards ?,Do you think we’ll ever hear from Oprah that playing free Solitaire was always the the key to her success?
What do you think about Games-Cards ?,Do you think you'll ever be a high stakes poker player?
What do you think about Games-Cards ?,"How good is your poker tell? You’ll always know if I’m ahead, basically a giant neon billboard saying ""Ha I'm Winning!"" across my forehead :)"
What do you think about Games-Cards ?,My poker tell is that i thought we were playing go fish
What do you think about Games-Puzzles ?,"So do you use the box when putting together jigsaw puzzles, or do you live on the wild side?"
What do you think about Games-Puzzles ?,"Do you think there's any murder mystery puzzles, it's a picture of you in your living room..But the last piece you put in, it's  a guy with a knife behind you?"
What do you think about Games-Puzzles ?,"Do you think that somewhere, Carmen SanDiego & Waldo are on the run, driving a convertible and holding hands?"
What do you think about Games-Puzzles ?,So have you ever completed 1/2 the crossword on the inflight magazine? leaving all the easy ones for the people to follow..
What do you think about Games-Puzzles ?,"Hey Rebecca! What are your favorite crossword hacks? 3 letters and a clue about food scraps? “Ort”, 100% of the time"
What do you think about Games-Puzzles ?,"So do you use a pencil, pen, or Google to fill out cross"
What do you think about Games-Puzzles ?,I do my taxes like someone who has clearly given up on a Sudoku but continues filling in numbers anyways
What do you think about Games-Puzzles ?,So what's your record time? I like to get the New York Times Sunday crossword and work on it for about 4 months..
What do you think about Games-Trivia ?,What's the worst you've been at trivia? I once tried going to trivia once on the wrong night..
What do you think about Games-Trivia ?,What's the best you've been at trivia? I once won a bar trivia night by being able to name the full titles of all 5 Air Bud movies
What do you think about Games-Trivia ?,"What’s your strongest trivia category? I’m great at useless facts like Giants relief pitchers, Taylor Swift lyrics, or the Air Bud franchise"
What do you think about Games-Trivia ?,"Have you ever done one of those murder mystery dinner parties? Always seem like they’d be a fun, low-stakes entry into acting"
What do you think about Games-Trivia ?,So how competitive do you get when you’re watching Jeopardy..do you call out all the answers in the form of a question?
What do you think about Games-Trivia ?,I wonder if any billionaires have a full-size replica Jeopardy set in their house so they can play against buds anytime they wanted. Because I’d get that
What do you think about Games-Video Games ?,Do you also hear the Mario “Hurry Up” theme song when  your phone is about to die?
What do you think about Games-Video Games ?,"What do you think of Donkey Kongs’ relationship with barrels?I think it’s complicated b/c he throws them in a fit of rage, gets trapped in them, ect."
What do you think about Games-Video Games ?,"Do you hear the Mario ""hitting your head into a coin cube” noise whenever bumping into something?"
What do you think about Games-Video Games ?,Just like Pacman I too spend my life sprinting after food
What do you think about Games-Video Games ?,"But how good are you at that video game where you watch your Postmates delivery person take the wrong route to your house, and scream at your phone?"
What do you think about Games-Video Games ?,"So what’s board game are you bringing over? I love playing Scrabble, and will absolutely try to make up new words if I get a Z tile ??"
What do you think about Holiday-Halloween ?,Was this inspired by Charlie Brown’s Great Pumpkin? the Half Moon Bay contest this year was wild
What do you think about Job-Nurse ?,So as a nurse do you ever have fun with patients..like ask them to hold your hot dog while you review lab results?
What do you think about Job-Nurse ?,"So as a nurse, do you have artistic freedom for the waiting room TV’s? b/c Spanish daytime soap operas on mute never fail.."
What do you think about Job-Nurse ?,Is it me or are hospitals low-key obsessed with Jell-O?
What do you think about Job-Nurse ?,Groupies for old bands should be nurses
What do you think about Job-Nurse ?,"96/69 blood pressure and I was like nice, and she was like yeah that’s pretty low"
What do you think about Job-Nurse ?,do you go as a respertory therapist for halloween
What do you think about Job-Scientist ?,So do you think mad science experiments have an out-of-control group?
What do you think about Job-Scientist ?,"Would you agree there are two kinds of people..people who are great at math, people who are okay at math, and people who are bad at math?"
What do you think about Job-Scientist ?,"So do you like rollercoasters, because it’ like you’re riding a line graph?"
What do you think about Job-Scientist ?,"Do you think it’s possible physics dark matter, which repels everything in the universe, just turns out to be a dog’s morning breath?"
What do you think about Job-Lawyer ?,Woulf you consider starting up a Lawyer’s office/Coffee shop called Grounds for Divorce?
What do you think about Job-Lawyer ?,So as a paralegal I’m guessing you got through all Agatha Christie’s books quickly by solving the case after the first 10 pages???
What do you think about Job-Teacher ?,"So as a teacher, do you turn your chair around backwards when it’s time to get real with the kids?"
What do you think about Music-Listening ?,Are you a music or podcast listener on long runs? Love listening to comedy podcasts during a workout..figure laughing equals at least an extra crunch or two
What do you think about Music-Listening ?,"I’m completely up for this. We can take turns with the aux cable, though I will warn you Chumbawumba is on all my road trip playlists at least once"
What do you think about Music-Listening ?,How good are you at untangling earbuds? b/c that skill deserves a greater prize than earbuds
What do you think about Music-Listening ?,So do you have a speaker in your bathroom to turn showers into a jazz club? b/c jazz fashion would be like the clothes you arent wearing
What do you think about Music-Listening ?,"Do you think that ""Hey-Ya"" song was actually supposed to be about karate?"
What do you think about Music-Listening ?,"Does shuffle ever nail it for you? Whenever I try it plays in order: the theme for a Disneyland ride, a song from a musical, 5 Maroon 5 songs in a row"
What do you think about Music-Listening ?,Things on my playlist: Curb theme. 'low battery alert' for different fire alarm models
What do you think about Music-Listening ?,"Did you ever wear a long sleeve shirt under a short sleeve shirt, so people knew you were into music?"
What do you think about Music-Listening ?,So which 80s power ballad music video should we re-create? I always think of a  PA guy saying “couples skate!” when Take my Breath Away comes on
What do you think about Music-Listening ?,So do you also get mad with power than whenever you're controlling the bluetooth connection on a road trip?
What do you think about Music-Listening ?,"When Nelly Furtado sang ""I'm like a bird,"" do you think it's because she pooped on cars?"
What do you think about Music-Listening ?,So would you say Drake is the Celine Dion of rap? ( technically the Titanic started at the top not the bottom)
What do you think about Music-Listening ?,"How mad do you think Johnny Cash would be to hear I put him on a Spotify playlist called ""Panty Dropper Party Mix""?"
What do you think about Music-Listening ?,So do you have anyone in your “do not play from this artist” list on Spotify?
What do you think about Music-Listening ?,"It's rude to loudly play your own music on the train, but to make us all listen to the Spotify ads in between is unforgivable."
What do you think about Music-Listening ?,I like to put things like Hey There Delilah on your gym playlist cause it makes me so mad
What do you think about Music-Listening ?,"Do you think Joni Mitchell’s lyrics today would be “They paved paradise, and put up a really nice Ann Taylor Loft with a Panera Bread”?"
What do you think about Music-Listening ?,"Don'tyou think it's weird how after the 70s, people really cut down on ramblin'?"
What do you think about Music-Listening ?,"So do you listen to music in a passive way, or Dirty Dancing soundtrack to help put you in certain mood?"
What do you think about Music-Listening ?,That one involves lots of T-Swift and Risky Business slides across my kitchen...The Windex includes the MIA song (for shooting the spray bottle)
What do you think about Music-Listening ?,Is it possible to see a phrase like “Turn the Page” and not hear that sax solo play out in your head?
What do you think about Music-Listening ?,Who would you want a VH1 Behind the Music about? I'd love to see one about the band members in that Kars4Kid ad..
What do you think about Music-Listening ?,"Have you ever tried to explain cassettes? See it was a tape on a spool, and it would get tangled. Also magnets were involved?"
What do you think about Music-Listening ?,"Whenever I hear smooth Jazz, I have an uncontrollable urge to buy peanut butter..Thanks grocery stores!"
What do you think about Music-Listening ?,"What’s your most-used Spotify playlist? lately I’ve just been using ‘Running’, just so it always looks like I’m working out"
What do you think about Music-Listening ?,"So is your vinyl collection sorted by like artist/genre/album art, or a total unorganized mess like mine? As a kid I used my parents records to slide across the room..They were not happy"
What do you think about Music-Listening ?,I have different Spotify playlists for Swiffering vs. Windexing and hey where are you going this date just started
What do you think about Music-Listening ?,can we discuss the similar themes between Britney’s “Lucky and Taylor Swift’s “Lucky one”?
What do you think about Music-Listening ?,"Playlist Names: Playlist For If I Actually Ever Worked Out, WILL SMITH PLAYLIST, Finches singing math problems"
What do you think about Music-Listening ?,Do you listen to music while working? R&B music is excellent for productivity..especially when the spreadsheet love feels unrequited
What do you think about Music-Listening ?,"I know you had a busy day today, but here’s more to do: hold me closer, count the headlights on the highway, lay me down in sheets of linen"
What do you think about Music-Listening ?,So is it both when “Pour Some Sugar On Me” comes on in the dentist’s office?
What do you think about Music-Listening ?,Do you also sing “Ain’t No Mountain High Enough” all the way down the run?
What do you think about Music-Listening ?,Should someone tell all the other kids with the pumped up kicks that they can stop running?
What do you think about Music-Listening ?,"Whenever you’re in fog here, do you also picture yourself as an extra in an 80’s music video? I’m usually picturing myself in Heart’s “These Dreams”.."
What do you think about Music-Listening ?,So have you been walking around the city listening to Mozart? I’d feel like I was permanently in an ad for energy solutions..
What do you think about Music-Listening ?,"Do you have set playlists for mundane tasks too, or prefer to be in music-discovery mode mostly?"
What do you think about Music-Listening ?,Where did you side on that Yanny vs Laurel video?
What do you think about Music-Listening ?,"if you listen hard enough, the first Death Cab album syncs up perfectly to Land Before Time"
What do you think about Music-Listening ?,The bathroom-cleaning music would absolutely have to be John Williams - Star Wars
What do you think about Music-Listening ?,What are your thoughts about a musical movie adaptation of Rumours? Just think..both Fleetwood Mac and the (Mean Girls) Plastics both kicked a Lindsey out of their group
What do you think about Music-Listening ?,What sort of music do you like on vinyl? almost feel bad that brother and I used my parents records to slide across the room growing up
What do you think about Music-Concerts ?,"I’ve tried to start Uber pool karaoke, and people just get mad"
What do you think about Music-Concerts ?,"what was a concert highlight from the past year? I went to Chicago for Lollapolooza, my first time there and am kinda hooked on travelling for shows now!"
What do you think about Music-Concerts ?,So were you a fan of Backstreet Boys & New Kids reuniting for that “N-K-O-T-B-S-B” tour? Because I actually was at the Sacramento show
What do you think about Music-Concerts ?,"What kinda concerts do you have the most fun at? jumping around in the mosh pit, or picnic on the grass kinda shows"
What do you think about Music-Concerts ?,"Do you have a favorite concert memory, or maybe one on your bucket list? It’d have to be the music festivals; one on a lake in Hungary, and another in Barcelona on the beach. Both incredible experiences"
What do you think about Music-Concerts ?,"There was actually a SoFar Sounds show at our office a few weeks ago! tons of fun, in a small space..What's your ideal type of concert to be at?"
What do you think about Music-Singing ?,"So Swift has the Swifties, Gaga has Little Monsters..What’s your cult fanbase calling themselves?"
What do you think about Music-Singing ?,So what show should we turn into a musical? I’d love to see those monsters from Last of Us singing a duet!
What do you think about Music-Singing ?,"So do you like singing in public/performing, or prefer the private style karaoke rooms?"
What do you think about Music-Singing ?,"What if Cher was singing ""If I could turn back time"" at 2am and we were all like YOU CAN"
What do you think about Music-Singing ?,"So what do you like to sing, who would be your best musical impression? I do my best Liam Neeson impression when the waiter tries to take my unfinished plate away.."
What do you think about Music-Singing ?,"Do you ever change up karaoke lyrics on purpose? Whenever I sing Just Dance, I have to change up every other chorus to “same pants”"
What do you think about Music-Singing ?,black beans singing in the dead of night..
What do you think about Music-Singing ?,What The Voice couch would you go to? I’d let you go to Blake’s team. But then steal you away in the blinds after I hear your incredible ballad-version of “Bitch Better Have My Money
What do you think about Music-Singing ?,"So is your karaoke song ""Let's Give 'em Something to Taco Bell""? (by Bean-ie Raitt)"
What do you think about Music-Singing ?,"So when you’re singing Chandelier in the car, do you turn down the volume right before that high note..so the world can hear you nail it?"
What do you think about Music-Singing ?,"So as a duet, should we become TikTok famous or win a Grammy and end our world tour at the Super Bowl?"
What do you think about Music-Singing ?,"So would you rather compose the music that plays when you walk into an Olive Garden, or be featured on Spotify’s productivity playlist?"
What do you think about Music-Singing ?,What would you dress as on the Masked Singer (exotic mask)?
What do you think about Music-Singing ?,Show up to a karaoke bar with a Les Miserables sweatshirt
What do you think about Music-Playing-DJ ?,Do you think cold DJs only hold one earmuff to their ear?
What do you think about Music-Playing-DJ ?,So what would your DJ/stage name be? I think I’d want to go as DJ Fancy Pasta
What do you think about Music-Playing-DJ ?,"emoji, spelled emo-g, Da-Brie"
What do you think about Music-Playing-DJ ?,Clariton D
What do you think about Music-Playing-DJ ?,"Don’t you feel bad for hip hop producers? because no one ever starts a track with ""great job on the sound level in my headphones. Perfect volume”"
What do you think about Music-Playing-DJ ?,Have you opened for Gwar?
What do you think about Music-Playing-Violin ?,So do violinists also have an expression for when you have a great day? like play me a song on the world’s biggest violin?
What do you think about Music-Playing-Violin ?,Did you learn the Suzuki method (when you learn violin playing on a motorcycle)?
What do you think about Music-Playing-Violin ?,But have you been through ALL TEN Suzuki violin books?
What do you think about Music-Playing-Violin ?,So what's the hardest song to play an air violin for..the fast part of The Devil Went Down to Georgia?
What do you think about Music-Playing-Violin ?,experimental harp album
What do you think about Music-Playing-Bass ?,"Do you think bands set mics up for the bass player to occasionally sing, just so they can feel like they’re apart of things?"
What do you think about Music-Playing-Bass ?,"So do you play mostly classical music, or do awesome cello covers like “Lean on Me” or “Cello Darkness My Old Friend”?"
What do you think about Music-Playing-Drums ?,So can you air drum the solo to that song Wipeout? it’s both a great way to practice and also knock everything off your desk
What do you think about Music-Playing-Guitar ?,So the real question is have you ever covered “Anaconda” on ukulele yet?
What do you think about Music-Playing-Flute ?,So do you think your flute playing would be able to charm a snake?m
What do you think about Music-Playing-Piano ?,Do you also pretend play any table you’re sitting at like it’s a piano? or is does it always seem a little flat..
What do you think about Music-Playing-Piano ?,Do you listen to classical music too? I like to put on piano music and do the dishes..I can pretend like I’m the star of an indie movie about finally facing my fear of dishes :)
What do you think about Music-Job ?,"I work for a music platform, kinda like TikTok but for singers.. mostly doing song licensing and production, but do some fun work with talent/artists too!"
What do you think about Music-Job ?,"So lots of research, licensing, re-producing songs, and fun things like contests with big artists and holding auditions for The Voice/Idol/ect."
What do you think about Music-Job ?,"I work at a company making karaoke-style games, so it’s mainly upcoming pop music. But I grew up on 90s pop-punk, so I’ll default to that"
What do you think about Music-Job ?,"I work for a music/singing app primarily with pop music, so I’ve been playing a lot of Halsey, Taylor Swift, ect. But I’ll always love 90s/2000s pop-punk."
What do you think about North Beach ?,"I like to think I’m honorary Italian, since I’ve been in North Beach for almost 10 years"
What do you think about North Beach ?,"My neighborhood actually has movie nights, we ALL check our mail together. It’s like a musical."
What do you think about Pandemic ?,"So you got sourdough checked off in pandemic bingo..How about puzzles, paintings, yoga, or starting a garden and/or podcast?"
What do you think about Plants ?,Sometimes  worry about them when I’m away on vacation..Do any of your plants have names like Robert Plant?
What do you think about Plants ?,Plants really thrive when you give them performance reviews
What do you think about Plants ?,"I'm curious about your plants and the connection to healing, do you have a home garden?"
What do you think about Plants ?,"So have you given these plants names? I just started growing a tomato plant on my balcony, so far it’s been great to have something fresh to add to dinner :)"
What do you think about Plants ?,So is it normal to give all your plants names like Robert Plant and play Garden State on a loop to see if it helps them grow greener?
What do you think about Plants ?,"I wonder if the right daily water schedule is something like: no water, no water, no water, flash food, no water"
What do you think about Plants ?,"I’m attempting to grow some basil on my patio for pesto, but haven’t tried anything bigger..Do you think playing the Garden State soundtrack for vegetables would help them grow?"
What do you think about Reading ?,So as a paralegal I’m guessing you got through all Agatha Christie’s books quickly by solving the case after the first 10 pages?
What do you think about Reading ?,haha I was watching Clueless and went down a Jane Austen rabbit hole..somehow found a live-stream for a convention called Austen-Con
What do you think about Reading ?,What are you into reading lately? I’m always on team rom-com..just finished Lessons in Chemistry and already looked up all the recipes in the book :)
What do you think about Reading ?,What’s your favorite place to read?
What do you think about Reading ?,What kinda genres are you into?
What do you think about Reading ?,So is the best part of being a librarian stamping the due date? Love seeing the history!
What do you think about Reading ?,So do you also love to look at the date stamps from library books? Love seeing the history!
What do you think about Reading ?,So do you also try to give the books a soft landing as you put them through the return slot?
What do you think about Reading ?,"So is your bookshelf organized by author, genre, color with a “staff” picks shelf? or a total disorganized mess like mine"
What do you think about Reading ?,I'd dog ear the different endings of Choose Your Own Adventure books
What do you think about Reading ?,So which book would open up the revolving door to secret room?
What do you think about Reading ?,"During the opening to Marvel movies, do you half expect the guy flipping the comic book pages to be like “OW! PAPERCUT!”"
What do you think about Reading ?,Would you live in a custom-built house that has a secret room hidden behind a fake bookcase? I always wanted to be an architect for that exact reason
What do you think about Reading ?,So where do you land on the dog-ear vs bookmark debate?
What do you think about Reading ?,"Do you like to write as well, or generally leave it to the professionals like Snooki?"
What do you think about Reading ?,"Now that the world is on Facebook and Twitter, I'm constantly reminded that good writing is a skill."
What do you think about Reading ?,"There was a whole script written based on Emoji’s, so there’s still hope for us!"
What do you think about Reading ?,"If a techno beat was added to audiobooks, ""reading"" could feel like a super trendy club. Also ask a stranger to spill a drink on you."
What do you think about Reading ?,"An absolute dream job would be to write on a show..Maybe something like 30 Rock, at least until my vampire-football player rom-com pans out ;)"
What do you think about Reading ?,"So if you’re ever stuck writing, don't you wish there was someone who lives in a cabin in Missouri who helps with scripts?"
What do you think about Reading ?,I loved those Boxcar Children books when I was a kid..All I wanted to do was go out with a backpack and a flashlight and solve a mystery
What do you think about Reading ?,Is it true that they’re called novels b/c it was a new thing?
What do you think about Sleep ?,"For the first few times, do you also hit snooze like you’ve just discovered you have arms?"
What do you think about Sports Hockey ?,Big hockey fan.. Do you think they’d be better if the ice slowly melted and actual sharks emerged from the water on the visitor’s side?
What do you think about Sports Baseball ?,"So is your favorite part of baseball when they have dirt on their pants, and it kinda looks like they just pooped their pants?"
What do you think about Sports Baseball ?,Do you think if pro-athletes could hear the helpful things we yell at the TV that they’d appreciate it and play much bett?
What do you think about Sports Baseball ?,"So as a baseball historian, what do you think will come first..a Giants championship or the next Austin Powers movie? I can totally see a cardboard cutout Austin Powers streaking across the outfield.."
What do you think about Sports Baseball ?,"Go Giants! Do you have any top memories from the ballpark? I ran mid-inning karaoke on the Giants scoreboard, we recorded the players singing (badly!)"
What do you think about Sports Baseball ?,"So what was your ballpark food? I’ve tried imitating the garlic fries at home, but it’s not the same"
What do you think about Sports Baseball ?,Love when baseball players put their mitts over their mouth to chat
What do you think about Sports Baseball ?,So which Giants player do you think would make the best dog name? I'm going with Boch..because then he could probably bark out his own name
What do you think about Sports Baseball ?,"So when you watch a Game 7, do you go quiet with anticipation or go crazy?"
What do you think about Sports Baseball ?,"The great thing about us both liking baseball, is prob means that neither of us gets bored too easily"
What do you think about Sports Baseball ?,"Yeah! I grew up an A’s fan since BART was so easy for games, but I’m much more Giants after living here for 10 years. I’m on a Sunday softball team now too, but also played through high school..Guessing your curveball was un-hittable when you played?"
What do you think about Sports Baseball ?,Fanfest! They open the field to the public for the day..It’s so much fun to to bring a ball and imagine being a WS champ! Do you have any favorite moments from going to games?
What do you think about Sports Baseball ?,Baseball players have “walk-up” songs. What would be the song that played whenever people come into your house? I would be disappointed to go into Flo Rida’s house and he didn't sing “My House”
What do you think about Sports Basketball ?,"We should play some pop-a-shot! So how competitive are you, will you show up doing that spinning a ball on your finger thing?"
What do you think about Sports Basketball ?,"So how close were you in getting drafted by the WNBA? Always down for pop a shot, but have to know who I’m up against here"
What do you think about Sports Basketball ?,What’s your favorite NBA fashion trend? I love socks that go all the way up
What do you think about Sports Basketball ?,"Who are your basketball teams? It’s not the same as when they were in Oakland, but I’ll always be a Warriors fan!"
What do you think about Sports Biking ?,So do you think we could ever be that couple riding a tandem bike together unironically?
What do you think about Sports Biking ?,"So are you into the exploring aspect of biking, or are you usually racing trying to beat your best time?"
What do you think about Sports Bullriding ?,So should the second round be whoever stays on the mechanical bull the longest? my record is 3.8 seconds
What do you think about Sports Climbing ?,"So when you reach the top, are you ever tempted to give an inspirational speech to all the people down below???"
What do you think about Sports Climbing ?,Were you into the adrenaline rush after skydiving? I’d be worried they would accidentally pack a cocktail umbrella instead of the parachute haha
What do you think about Sports Climbing ?,So what’s your ultimate climbing goal? besides being able to reach all the top shelf drinks ofc
What do you think about Sports Dancing ?,"Whenever you’re in an elevator alone, do you ever do a little dance just to give the security guards a little variety while they monitor their cameras"
What do you think about Sports Dancing ?,"Do you ever invent names for specific dance moves? I’m still trying to get the ""lobster roll"" to catch on.."
What do you think about Sports Dancing ?,like a Tootsie Roll but more lobster
What do you think about Sports Dancing ?,Whens the last time you did the brush your shoulders off dance
What do you think about Sports Dancing ?,"That sounds fun! Do you get to incorporate moves from music videos/dance challenges like the Single Ladies dance? I feel like I learned all the *NSYNC dance moves, and have no practice use for them now.."
What do you think about Sports Dancing ?,Oh no! Really gotta stop doing those kick-lines in your living room to the musical “Cabaret” ?? 
What do you think about Sports Dancing ?,"Just to make sure we’re on the same page, we’re talking about the Fortnite Dance Challenge right?"
What do you think about Sports Exercise ?,What's your exercise regime..Do you train using Europe’s “The Final Countdown” on a loop?
What do you think about Sports Exercise ?,Do you think it's possible to exercise vicariously through someone else? b/c by looking at this photo I feel like I burned 100 calories..
What do you think about Sports Exercise ?,"So are you training for that one day, when you can jump out of a birthday cake and throw an axe at your arch enemy?"
What do you think about Sports Golf ?,"so do you always bring two pairs of pants to the golf course, in case you get a hole in one?"
What do you think about Sports Golf ?,"What’s your favorite part of golf..The visors, driving the carts, or the specific clapping?"
What do you think about Sports Golf ?,"So what is your mini-golf game like? I grew up (and still) on baseball, but still can’t drive a golf ball more than like 5 feet"
What do you think about Sports Gymnastics ?,You’re the perfect person to ask about that gymnastics scene in Jurassic Park 2..do you think you could actually kill a raptor with gymnastics?
What do you think about Sports Hiking ?,So does walking up a hill in SF count as hiking?
What do you think about Sports Kickball ?,"Kickball is fun, but our reflexes aren’t quite Neo-like after a few beers"
What do you think about Sports Running ?,I’m an expert at tripping then turning it into a little jog
What do you think about Sports Running ?,So do you also pass ppl walking slow on a sidewalk like the last lap of Mario Kart?
What do you think about Sports Running ?,"So have you ever eaten oysters before running, and pulled a mussel?"
What do you think about Sports Running ?,"Is there such a thing as “runner’s high”, where you leveled up and floated above the course?"
What do you think about Sports Sailing ?,So what kinda name would you give to your boat? If I had a sailboat I would name it Sex Sails..
What do you think about Sports Sailing ?,"haha so what are some good boating snacks? you could let them know I make a mean charcrutery board, but hams and cheeses might be flying off."
What do you think about Sports Skiing ?,"Just a few more cupcakes, and my body will be ready for ski suit season"
What do you think about Sports Skiing ?,"wanna compete in the winter olympics together? It’s in Italy, so maybe we start our training montage with pizza.."
What do you think about Sports Skiing ?,"What’s your favorite Tahoe ski resort? I used to live/work at Northstar over winter breaks, and loved being able to snowboarding every day!"
What do you think about Sports Skiing ?,"Are you on board with the ski cabin life? Maybe the weather in SF is too good, but I love a weather related excuse to get cozy."
What do you think about Sports Skiing ?,Have you been able to ski out of state at all?
What do you think about Sports Skiing ?,What’s your favorite thing about skiing? Being up on a mountain always reminds me how claustrophobic life can be in a city
What do you think about Sports Skiing ?,Doesnt a downgraded snow storm feel like the weather stood you up?
What do you think about Sports Skiing ?,On our way to a 2026 gold medal?
What do you think about Sports Skiing ?,"So are you a diamond kinda person, or stick to the blue squares?"
What do you think about Sports Soccer ?,watching lots of soccer has taught me if you do enough cardio you can make any weird headband work
What do you think about Sports Scouts ?,"So what was a favorite badge you earned, b/c I was in boy scouts and really excelled at the pancake breakfast"
What do you think about Sports Surfing ?,Surfing is great sport if you feel like when you go to the beach you don’t get enough water in your mouth or feel enough pain
